Date,Year,Month,Quarter,Region,Country,Facility_ID,Facility_Name,Facility_Type,Scope,Category,Emissions_MT_CO2e,Prev_Year_Emissions,Target_Emissions,Baseline_2018,Energy_Source,Production_Volume_L,Carbon_Intensity_kg_per_L
2020-01-01,2020,Jan,Q1,North America,United States,NAM-001,Chicago Plant,Manufacturing,Scope 1,Stationary Combustion,45000,48000,42000,52000,Natural Gas,95000000,0.474
2020-01-01,2020,Jan,Q1,North America,United States,NAM-001,Chicago Plant,Manufacturing,Scope 2,Purchased Electricity,32000,35000,30000,38000,Grid,95000000,0.337
2020-01-01,2020,Jan,Q1,North America,United States,NAM-002,Dallas Distribution,Distribution,Scope 1,Mobile Combustion,12000,13500,11000,15000,Diesel,45000000,0.267
2020-01-01,2020,Jan,Q1,North America,United States,NAM-002,Dallas Distribution,Distribution,Scope 2,Purchased Electricity,8500,9200,8000,10000,Grid,45000000,0.189
2020-01-01,2020,Jan,Q1,North America,Canada,NAM-003,Toronto Bottling,Bottling,Scope 1,Stationary Combustion,28000,30000,26000,33000,Natural Gas,72000000,0.389
2020-01-01,2020,Jan,Q1,North America,Canada,NAM-003,Toronto Bottling,Bottling,Scope 2,Purchased Electricity,15000,17000,14000,19000,Hydro,72000000,0.208
2020-01-01,2020,Jan,Q1,Europe,Germany,EUR-001,Munich Plant,Manufacturing,Scope 1,Stationary Combustion,22000,25000,20000,28000,Natural Gas,68000000,0.324
2020-01-01,2020,Jan,Q1,Europe,Germany,EUR-001,Munich Plant,Manufacturing,Scope 2,Purchased Electricity,12000,14000,11000,16000,Renewable,68000000,0.176
2020-01-01,2020,Jan,Q1,Europe,United Kingdom,EUR-002,London Distribution,Distribution,Scope 1,Mobile Combustion,8500,9500,8000,11000,Diesel,35000000,0.243
2020-01-01,2020,Jan,Q1,Europe,United Kingdom,EUR-002,London Distribution,Distribution,Scope 2,Purchased Electricity,5500,6200,5000,7000,Grid,35000000,0.157
2020-01-01,2020,Jan,Q1,Europe,France,EUR-003,Paris Bottling,Bottling,Scope 1,Stationary Combustion,18000,20000,17000,23000,Natural Gas,55000000,0.327
2020-01-01,2020,Jan,Q1,Europe,France,EUR-003,Paris Bottling,Bottling,Scope 2,Purchased Electricity,6000,7500,5500,9000,Nuclear,55000000,0.109
2020-01-01,2020,Jan,Q1,Asia Pacific,China,APAC-001,Shanghai Plant,Manufacturing,Scope 1,Stationary Combustion,52000,55000,48000,60000,Coal,120000000,0.433
2020-01-01,2020,Jan,Q1,Asia Pacific,China,APAC-001,Shanghai Plant,Manufacturing,Scope 2,Purchased Electricity,48000,52000,44000,58000,Grid,120000000,0.400
2020-01-01,2020,Jan,Q1,Asia Pacific,Japan,APAC-002,Tokyo Distribution,Distribution,Scope 1,Mobile Combustion,9000,10000,8500,11500,Diesel,42000000,0.214
2020-01-01,2020,Jan,Q1,Asia Pacific,Japan,APAC-002,Tokyo Distribution,Distribution,Scope 2,Purchased Electricity,11000,12500,10000,14000,Grid,42000000,0.262
2020-01-01,2020,Jan,Q1,Asia Pacific,Australia,APAC-003,Sydney Bottling,Bottling,Scope 1,Stationary Combustion,15000,17000,14000,19000,Natural Gas,48000000,0.313
2020-01-01,2020,Jan,Q1,Asia Pacific,Australia,APAC-003,Sydney Bottling,Bottling,Scope 2,Purchased Electricity,18000,20000,16500,22000,Grid,48000000,0.375
2020-01-01,2020,Jan,Q1,Latin America,Brazil,LATAM-001,Sao Paulo Plant,Manufacturing,Scope 1,Stationary Combustion,25000,27000,23000,30000,Natural Gas,78000000,0.321
2020-01-01,2020,Jan,Q1,Latin America,Brazil,LATAM-001,Sao Paulo Plant,Manufacturing,Scope 2,Purchased Electricity,8000,10000,7500,12000,Hydro,78000000,0.103
2020-01-01,2020,Jan,Q1,Latin America,Mexico,LATAM-002,Mexico City Distribution,Distribution,Scope 1,Mobile Combustion,11000,12000,10000,13500,Diesel,38000000,0.289
2020-01-01,2020,Jan,Q1,Latin America,Mexico,LATAM-002,Mexico City Distribution,Distribution,Scope 2,Purchased Electricity,9500,10500,9000,12000,Grid,38000000,0.250
2020-02-01,2020,Feb,Q1,North America,United States,NAM-001,Chicago Plant,Manufacturing,Scope 1,Stationary Combustion,44500,47500,41500,52000,Natural Gas,94000000,0.473
2020-02-01,2020,Feb,Q1,North America,United States,NAM-001,Chicago Plant,Manufacturing,Scope 2,Purchased Electricity,31500,34500,29500,38000,Grid,94000000,0.335
2020-02-01,2020,Feb,Q1,North America,United States,NAM-002,Dallas Distribution,Distribution,Scope 1,Mobile Combustion,11800,13300,10800,15000,Diesel,44500000,0.265
2020-02-01,2020,Feb,Q1,North America,United States,NAM-002,Dallas Distribution,Distribution,Scope 2,Purchased Electricity,8400,9100,7900,10000,Grid,44500000,0.189
2020-02-01,2020,Feb,Q1,Europe,Germany,EUR-001,Munich Plant,Manufacturing,Scope 1,Stationary Combustion,21800,24800,19800,28000,Natural Gas,67500000,0.323
2020-02-01,2020,Feb,Q1,Europe,Germany,EUR-001,Munich Plant,Manufacturing,Scope 2,Purchased Electricity,11800,13800,10800,16000,Renewable,67500000,0.175
2020-02-01,2020,Feb,Q1,Asia Pacific,China,APAC-001,Shanghai Plant,Manufacturing,Scope 1,Stationary Combustion,51500,54500,47500,60000,Coal,119000000,0.433
2020-02-01,2020,Feb,Q1,Asia Pacific,China,APAC-001,Shanghai Plant,Manufacturing,Scope 2,Purchased Electricity,47500,51500,43500,58000,Grid,119000000,0.399
2020-03-01,2020,Mar,Q1,North America,United States,NAM-001,Chicago Plant,Manufacturing,Scope 1,Stationary Combustion,44000,47000,41000,52000,Natural Gas,93000000,0.473
2020-03-01,2020,Mar,Q1,North America,United States,NAM-001,Chicago Plant,Manufacturing,Scope 2,Purchased Electricity,31000,34000,29000,38000,Grid,93000000,0.333
2020-03-01,2020,Mar,Q1,Europe,Germany,EUR-001,Munich Plant,Manufacturing,Scope 1,Stationary Combustion,21500,24500,19500,28000,Natural Gas,67000000,0.321
2020-03-01,2020,Mar,Q1,Europe,Germany,EUR-001,Munich Plant,Manufacturing,Scope 2,Purchased Electricity,11500,13500,10500,16000,Renewable,67000000,0.172
